"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4228","打开后台页面","chromium","Mon Mar 17 02:42:06 GMT 2025","passed","Mon Mar 17 02:42:10 GMT 2025","后台管理","features/admin.feature.spec.js","",""
"","16577","打开后台页面","Microsoft Edge","Mon Mar 17 02:42:06 GMT 2025","passed","Mon Mar 17 02:42:23 GMT 2025","后台管理","features/admin.feature.spec.js","",""
