"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4246","打开后台页面","chromium","Mon Mar 17 12:07:02 GMT 2025","passed","Mon Mar 17 12:07:06 GMT 2025","后台管理","features/admin.feature.spec.js","",""
"","25216","打开后台页面","Microsoft Edge","Mon Mar 17 12:07:02 GMT 2025","passed","Mon Mar 17 12:07:27 GMT 2025","后台管理","features/admin.feature.spec.js","",""
