"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21860","打开后台页面","Microsoft Edge","Thu Mar 13 02:35:21 GMT 2025","passed","Thu Mar 13 02:35:42 GMT 2025","后台管理","features/admin.feature.spec.js","",""
"","4182","打开后台页面","chromium","Thu Mar 13 02:35:21 GMT 2025","passed","Thu Mar 13 02:35:25 GMT 2025","后台管理","features/admin.feature.spec.js","",""
